Gene,Function,GOID,Cat
AT2G45070,protein binding,GO:0005515,func
AT4G34710,protein binding,GO:0005515,func
AT2G01330,protein binding,GO:0005515,func
AT3G02230,protein binding,GO:0005515,func
AT2G05710,protein binding,GO:0005515,func
AT2G05940,protein binding,GO:0005515,func
AT3G05500,protein binding,GO:0005515,func
AT2G16950,protein binding,GO:0005515,func
AT2G17290,protein binding,GO:0005515,func
AT5G13190,protein binding,GO:0005515,func
AT3G13110,protein binding,GO:0005515,func
AT5G13490,protein binding,GO:0005515,func
AT5G14420,protein binding,GO:0005515,func
AT5G15090,protein binding,GO:0005515,func
AT5G16510,protein binding,GO:0005515,func
AT2G34250,protein binding,GO:0005515,func
AT2G36880,protein binding,GO:0005515,func
AT5G22780,protein binding,GO:0005515,func
AT5G27600,protein binding,GO:0005515,func
AT5G29000,protein binding,GO:0005515,func
AT2G45680,protein binding,GO:0005515,func
AT2G47510,protein binding,GO:0005515,func
AT3G02360,protein binding,GO:0005515,func
AT3G02520,protein binding,GO:0005515,func
AT3G02880,protein binding,GO:0005515,func
AT3G04000,protein binding,GO:0005515,func
AT3G04120,protein binding,GO:0005515,func
AT3G59760,protein binding,GO:0005515,func
AT3G14990,protein binding,GO:0005515,func
AT4G29810,protein binding,GO:0005515,func
AT5G53120,protein binding,GO:0005515,func
AT3G63010,protein binding,GO:0005515,func
AT5G54590,protein binding,GO:0005515,func
AT5G54840,protein binding,GO:0005515,func
AT5G04930,protein binding,GO:0005515,func
AT5G05340,protein binding,GO:0005515,func
AT5G67300,protein binding,GO:0005515,func
AT5G61010,protein binding,GO:0005515,func
AT5G67480,protein binding,GO:0005515,func
AT4G25230,protein binding,GO:0005515,func
AT5G45410,protein binding,GO:0005515,func
AT3G62770,protein binding,GO:0005515,func
AT3G47520,protein binding,GO:0005515,func
AT4G36220,protein binding,GO:0005515,func
AT5G20020,protein binding,GO:0005515,func
AT3G57090,protein binding,GO:0005515,func
AT5G17770,protein binding,GO:0005515,func
AT4G38630,protein binding,GO:0005515,func
AT5G63790,protein binding,GO:0005515,func
AT1G01910,protein binding,GO:0005515,func
AT1G19270,protein binding,GO:0005515,func
AT1G71820,protein binding,GO:0005515,func
AT2G16500,protein binding,GO:0005515,func
AT3G13380,protein binding,GO:0005515,func
AT3G47700,protein binding,GO:0005515,func
AT3G54620,protein binding,GO:0005515,func
AT4G12780,protein binding,GO:0005515,func
AT4G14410,protein binding,GO:0005515,func
AT4G35620,protein binding,GO:0005515,func
AT4G37530,protein binding,GO:0005515,func
AT5G13860,protein binding,GO:0005515,func
AT5G25930,protein binding,GO:0005515,func
AT5G49665,protein binding,GO:0005515,func
AT5G59430,protein binding,GO:0005515,func
AT5G63970,protein binding,GO:0005515,func
AT1G06040,protein binding,GO:0005515,func
AT1G10210,protein binding,GO:0005515,func
AT1G17200,protein binding,GO:0005515,func
AT1G19700,protein binding,GO:0005515,func
AT1G26670,protein binding,GO:0005515,func
AT1G48620,protein binding,GO:0005515,func
AT1G53190,protein binding,GO:0005515,func
AT1G65260,protein binding,GO:0005515,func
AT1G70310,protein binding,GO:0005515,func
AT1G70660,protein binding,GO:0005515,func
AT1G74470,protein binding,GO:0005515,func
AT1G75540,protein binding,GO:0005515,func
AT2G02060,protein binding,GO:0005515,func
AT2G05620,protein binding,GO:0005515,func
AT2G18710,protein binding,GO:0005515,func
AT2G21320,protein binding,GO:0005515,func
AT2G31380,protein binding,GO:0005515,func
AT2G34720,protein binding,GO:0005515,func
AT2G46830,protein binding,GO:0005515,func
AT3G04730,protein binding,GO:0005515,func
AT3G07880,protein binding,GO:0005515,func
AT3G11730,protein binding,GO:0005515,func
AT3G12320,protein binding,GO:0005515,func
AT3G15354,protein binding,GO:0005515,func
AT3G26650,protein binding,GO:0005515,func
AT3G48750,protein binding,GO:0005515,func
AT4G02640,protein binding,GO:0005515,func
AT4G03280,protein binding,GO:0005515,func
AT4G12800,protein binding,GO:0005515,func
AT4G25100,protein binding,GO:0005515,func
AT4G28640,protein binding,GO:0005515,func
AT4G35090,protein binding,GO:0005515,func
AT4G35100,protein binding,GO:0005515,func
AT4G38490,protein binding,GO:0005515,func
AT5G17230,protein binding,GO:0005515,func
AT5G39340,protein binding,GO:0005515,func
AT5G47110,protein binding,GO:0005515,func
AT5G55160,protein binding,GO:0005515,func
AT5G58140,protein binding,GO:0005515,func
AT5G62430,protein binding,GO:0005515,func
AT5G64170,protein binding,GO:0005515,func
AT5G66570,protein binding,GO:0005515,func
AT1G32330,protein binding,GO:0005515,func
AT2G43420,protein binding,GO:0005515,func
AT3G06530,protein binding,GO:0005515,func
AT5G60410,protein binding,GO:0005515,func
AT1G04940,protein binding,GO:0005515,func
AT1G08550,protein binding,GO:0005515,func
AT3G19180,protein binding,GO:0005515,func
AT1G66840,protein binding,GO:0005515,func
AT2G03390,protein binding,GO:0005515,func
AT2G19810,protein binding,GO:0005515,func
AT2G36490,protein binding,GO:0005515,func
AT3G17590,protein binding,GO:0005515,func
AT3G49670,protein binding,GO:0005515,func
AT3G57080,protein binding,GO:0005515,func
AT4G00850,protein binding,GO:0005515,func
AT4G13640,protein binding,GO:0005515,func
AT4G14540,protein binding,GO:0005515,func
AT5G57110,protein binding,GO:0005515,func
AT4G31270,protein binding,GO:0005515,func
AT5G38860,protein binding,GO:0005515,func
AT5G14620,protein binding,GO:0005515,func
AT5G23430,protein binding,GO:0005515,func
AT5G43810,protein binding,GO:0005515,func
AT1G01160,protein binding,GO:0005515,func
AT1G02280,protein binding,GO:0005515,func
AT1G02340,protein binding,GO:0005515,func
AT1G03000,protein binding,GO:0005515,func
AT1G04240,protein binding,GO:0005515,func
AT1G04550,protein binding,GO:0005515,func
AT1G08380,protein binding,GO:0005515,func
AT1G10610,protein binding,GO:0005515,func
AT1G11430,protein binding,GO:0005515,func
AT3G13360,protein binding,GO:0005515,func
AT3G16000,protein binding,GO:0005515,func
AT1G19835,protein binding,GO:0005515,func
AT1G20010,protein binding,GO:0005515,func
AT1G20830,protein binding,GO:0005515,func
AT1G22740,protein binding,GO:0005515,func
AT5G45680,protein binding,GO:0005515,func
AT3G20550,protein binding,GO:0005515,func
AT1G25440,protein binding,GO:0005515,func
AT1G26260,protein binding,GO:0005515,func
AT1G27190,protein binding,GO:0005515,func
AT1G31420,protein binding,GO:0005515,func
AT3G28040,protein binding,GO:0005515,func
AT1G35460,protein binding,GO:0005515,func
AT3G29185,protein binding,GO:0005515,func
AT1G49010,protein binding,GO:0005515,func
AT1G49480,protein binding,GO:0005515,func
AT3G48670,protein binding,GO:0005515,func
AT3G50820,protein binding,GO:0005515,func
AT1G55480,protein binding,GO:0005515,func
AT2G18290,protein binding,GO:0005515,func
AT1G59750,protein binding,GO:0005515,func
AT3G56650,protein binding,GO:0005515,func
AT1G64860,protein binding,GO:0005515,func
AT4G35760,protein binding,GO:0005515,func
AT1G68830,protein binding,GO:0005515,func
AT4G12560,protein binding,GO:0005515,func
AT4G13670,protein binding,GO:0005515,func
AT1G76110,protein binding,GO:0005515,func
AT4G14870,protein binding,GO:0005515,func
AT4G15510,protein binding,GO:0005515,func
AT1G78510,protein binding,GO:0005515,func
AT2G44920,protein binding,GO:0005515,func
AT2G01760,protein binding,GO:0005515,func
AT4G19170,protein binding,GO:0005515,func
AT2G05210,protein binding,GO:0005515,func
AT4G22200,protein binding,GO:0005515,func
AT4G23400,protein binding,GO:0005515,func
AT2G18050,protein binding,GO:0005515,func
AT4G27430,protein binding,GO:0005515,func
AT2G20180,protein binding,GO:0005515,func
AT2G21385,protein binding,GO:0005515,func
AT2G22540,protein binding,GO:0005515,func
AT2G24120,protein binding,GO:0005515,func
AT2G25000,protein binding,GO:0005515,func
AT4G33000,protein binding,GO:0005515,func
AT2G31040,protein binding,GO:0005515,func
AT2G37678,protein binding,GO:0005515,func
AT2G39090,protein binding,GO:0005515,func
AT5G60870,protein binding,GO:0005515,func
AT3G01770,protein binding,GO:0005515,func
AT5G22640,protein binding,GO:0005515,func
AT3G53760,protein binding,GO:0005515,func
AT4G30620,protein binding,GO:0005515,func
AT3G59060,protein binding,GO:0005515,func
AT3G60320,protein binding,GO:0005515,func
AT5G39790,protein binding,GO:0005515,func
AT4G13830,protein binding,GO:0005515,func
AT5G44930,protein binding,GO:0005515,func
AT5G05000,protein binding,GO:0005515,func
AT3G23050,protein binding,GO:0005515,func
AT5G64330,protein binding,GO:0005515,func
AT5G53490,protein binding,GO:0005515,func
AT5G26980,protein binding,GO:0005515,func
AT3G45780,protein binding,GO:0005515,func
AT4G17600,protein binding,GO:0005515,func
AT5G18680,protein binding,GO:0005515,func
AT3G49250,protein binding,GO:0005515,func
AT4G33470,protein binding,GO:0005515,func
AT3G62030,protein binding,GO:0005515,func
AT5G67385,protein binding,GO:0005515,func
AT3G57040,protein binding,GO:0005515,func
AT5G35750,protein binding,GO:0005515,func
AT5G35790,protein binding,GO:0005515,func
AT5G20140,protein binding,GO:0005515,func
AT4G20360,protein binding,GO:0005515,func
AT5G44200,protein binding,GO:0005515,func
AT4G02020,protein binding,GO:0005515,func
AT5G57180,protein binding,GO:0005515,func
AT4G34090,protein binding,GO:0005515,func
AT4G15560,protein binding,GO:0005515,func
AT5G61480,protein binding,GO:0005515,func
AT4G14720,protein binding,GO:0005515,func
AT5G43920,protein binding,GO:0005515,func
AT5G16000,protein binding,GO:0005515,func
AT5G56210,protein binding,GO:0005515,func
AT5G55230,protein binding,GO:0005515,func
AT5G13120,protein binding,GO:0005515,func
AT5G64580,protein binding,GO:0005515,func
AT5G44190,protein binding,GO:0005515,func
AT1G26340,protein binding,GO:0005515,func
AT1G72450,protein binding,GO:0005515,func
AT4G17615,protein binding,GO:0005515,func
AT4G34660,protein binding,GO:0005515,func
AT3G26020,protein binding,GO:0005515,func
AT3G28450,protein binding,GO:0005515,func
AT3G59660,protein binding,GO:0005515,func
AT3G05280,protein binding,GO:0005515,func
AT1G43700,protein binding,GO:0005515,func
AT4G10920,protein binding,GO:0005515,func
AT2G04030,protein binding,GO:0005515,func
AT4G31390,protein binding,GO:0005515,func
AT4G00238,protein binding,GO:0005515,func
AT1G75410,protein binding,GO:0005515,func
AT3G13350,protein binding,GO:0005515,func
AT4G10090,protein binding,GO:0005515,func
AT4G05420,protein binding,GO:0005515,func
AT2G04660,protein binding,GO:0005515,func
AT4G16950,protein binding,GO:0005515,func
AT2G36720,protein binding,GO:0005515,func
AT2G45660,protein binding,GO:0005515,func
AT4G01037,protein binding,GO:0005515,func
AT5G65490,protein binding,GO:0005515,func
AT4G27450,protein binding,GO:0005515,func
AT1G07200,protein binding,GO:0005515,func
AT4G08920,protein binding,GO:0005515,func
AT1G75840,protein binding,GO:0005515,func
AT3G45260,protein binding,GO:0005515,func
AT5G58710,protein binding,GO:0005515,func
AT1G06190,protein binding,GO:0005515,func
AT3G50700,protein binding,GO:0005515,func
AT3G26030,protein binding,GO:0005515,func
AT3G05120,protein binding,GO:0005515,func
AT3G07740,protein binding,GO:0005515,func
AT3G20290,protein binding,GO:0005515,func
AT5G13300,protein binding,GO:0005515,func
AT4G16520,protein binding,GO:0005515,func
AT1G10760,protein binding,GO:0005515,func
AT1G21460,protein binding,GO:0005515,func
AT1G49720,protein binding,GO:0005515,func
AT1G53090,protein binding,GO:0005515,func
AT1G56310,protein binding,GO:0005515,func
AT5G16820,protein binding,GO:0005515,func
AT2G04240,protein binding,GO:0005515,func
AT2G21530,protein binding,GO:0005515,func
AT2G22840,protein binding,GO:0005515,func
AT2G26330,protein binding,GO:0005515,func
AT3G47500,protein binding,GO:0005515,func
AT2G36250,protein binding,GO:0005515,func
AT2G41620,protein binding,GO:0005515,func
AT2G42620,protein binding,GO:0005515,func
AT2G43010,protein binding,GO:0005515,func
AT3G24520,protein binding,GO:0005515,func
AT4G32910,protein binding,GO:0005515,func
AT3G28270,protein binding,GO:0005515,func
AT4G38430,protein binding,GO:0005515,func
AT3G54090,protein binding,GO:0005515,func
AT5G03940,protein binding,GO:0005515,func
AT5G47640,protein binding,GO:0005515,func
AT3G61880,protein binding,GO:0005515,func
AT5G51110,protein binding,GO:0005515,func
AT4G38580,protein binding,GO:0005515,func
AT5G52440,protein binding,GO:0005515,func
AT5G05680,protein binding,GO:0005515,func
AT2G04890,protein binding,GO:0005515,func
AT5G44920,protein binding,GO:0005515,func
AT1G78870,protein binding,GO:0005515,func
AT4G21670,protein binding,GO:0005515,func
AT2G14120,protein binding,GO:0005515,func
AT4G27500,protein binding,GO:0005515,func
AT3G45640,protein binding,GO:0005515,func
AT3G46060,protein binding,GO:0005515,func
AT3G57530,protein binding,GO:0005515,func
AT4G03260,protein binding,GO:0005515,func
AT5G58430,protein binding,GO:0005515,func
AT3G18160,"protein binding, bridging",GO:0030674,func
AT3G18490,protein catabolic process,GO:0030163,proc
AT2G41110,protein catabolic process,GO:0030163,proc
AT2G22010,protein catabolic process,GO:0030163,proc
AT1G29150,protein catabolic process,GO:0030163,proc
AT2G17760,protein catabolic process,GO:0030163,proc
AT5G20000,protein catabolic process,GO:0030163,proc
AT4G19006,protein catabolic process,GO:0030163,proc
AT5G23540,protein catabolic process,GO:0030163,proc
AT4G38630,protein catabolic process,GO:0030163,proc
AT5G58290,protein catabolic process,GO:0030163,proc
AT1G03220,protein catabolic process,GO:0030163,proc
AT1G03230,protein catabolic process,GO:0030163,proc
AT5G22850,protein catabolic process,GO:0030163,proc
AT1G77480,protein catabolic process,GO:0030163,proc
AT2G47940,protein catabolic process,GO:0030163,proc
AT5G49840,protein catabolic process,GO:0030163,proc
AT2G29500,protein complex oligomerization,GO:0051259,proc
AT1G53280,protein deglycase activity,GO:0036524,func
AT3G14990,protein deglycase activity,GO:0036524,func
AT4G34020,protein deglycase activity,GO:0036524,func
AT1G53280,"protein deglycation, glyoxal removal",GO:0036529,proc
AT3G14990,"protein deglycation, glyoxal removal",GO:0036529,proc
AT4G34020,"protein deglycation, glyoxal removal",GO:0036529,proc
AT5G49570,protein deglycosylation,GO:0006517,proc
AT3G26720,protein deglycosylation,GO:0006517,proc
AT5G13980,protein deglycosylation,GO:0006517,proc
AT1G79630,protein dephosphorylation,GO:0006470,proc
AT2G46920,protein dephosphorylation,GO:0006470,proc
AT2G30020,protein dephosphorylation,GO:0006470,proc
AT1G07630,protein dephosphorylation,GO:0006470,proc
AT1G68410,protein dephosphorylation,GO:0006470,proc
AT4G33920,protein dephosphorylation,GO:0006470,proc
AT2G33700,protein dephosphorylation,GO:0006470,proc
AT3G17250,protein dephosphorylation,GO:0006470,proc
AT4G31860,protein dephosphorylation,GO:0006470,proc
AT5G28900,protein dephosphorylation,GO:0006470,proc
AT2G25070,protein dephosphorylation,GO:0006470,proc
AT3G26020,protein dephosphorylation,GO:0006470,proc
AT1G47380,protein dephosphorylation,GO:0006470,proc
AT1G03960,protein dephosphorylation,GO:0006470,proc
AT3G26030,protein dephosphorylation,GO:0006470,proc
AT3G55050,protein dephosphorylation,GO:0006470,proc
AT4G31750,protein dephosphorylation,GO:0006470,proc
AT1G51710,protein deubiquitination,GO:0016579,proc
AT4G30890,protein deubiquitination,GO:0016579,proc
AT5G23540,protein deubiquitination,GO:0016579,proc
AT3G57810,protein deubiquitination,GO:0016579,proc
AT5G16310,protein deubiquitination,GO:0016579,proc
AT5G57990,protein deubiquitination,GO:0016579,proc
AT2G20100,protein dimerization activity,GO:0046983,func
AT1G33030,protein dimerization activity,GO:0046983,func
AT4G14410,protein dimerization activity,GO:0046983,func
AT4G00050,protein dimerization activity,GO:0046983,func
AT1G72530,protein dimerization activity,GO:0046983,func
AT2G22770,protein dimerization activity,GO:0046983,func
AT5G38860,protein dimerization activity,GO:0046983,func
AT1G02340,protein dimerization activity,GO:0046983,func
AT1G10610,protein dimerization activity,GO:0046983,func
AT1G11430,protein dimerization activity,GO:0046983,func
AT1G26260,protein dimerization activity,GO:0046983,func
AT1G35460,protein dimerization activity,GO:0046983,func
AT2G20180,protein dimerization activity,GO:0046983,func
AT2G22540,protein dimerization activity,GO:0046983,func
AT2G27230,protein dimerization activity,GO:0046983,func
AT5G45610,protein dimerization activity,GO:0046983,func
AT3G59060,protein dimerization activity,GO:0046983,func
AT5G13770,protein dimerization activity,GO:0046983,func
AT5G64340,protein dimerization activity,GO:0046983,func
AT5G55230,protein dimerization activity,GO:0046983,func
AT2G45660,protein dimerization activity,GO:0046983,func
AT2G43010,protein dimerization activity,GO:0046983,func
AT1G60850,protein dimerization activity,GO:0046983,func
AT1G04980,protein disulfide isomerase activity,GO:0003756,func
AT1G75690,protein disulfide isomerase activity,GO:0003756,func
AT1G11530,protein disulfide isomerase activity,GO:0003756,func
AT4G13670,protein disulfide isomerase activity,GO:0003756,func
AT1G35620,protein disulfide isomerase activity,GO:0003756,func
AT1G45145,protein disulfide oxidoreductase activity,GO:0015035,func
AT1G64500,protein disulfide oxidoreductase activity,GO:0015035,func
AT3G02730,protein disulfide oxidoreductase activity,GO:0015035,func
AT1G11530,protein disulfide oxidoreductase activity,GO:0015035,func
AT5G06690,protein disulfide oxidoreductase activity,GO:0015035,func
AT5G16400,protein disulfide oxidoreductase activity,GO:0015035,func
AT5G42150,protein disulfide oxidoreductase activity,GO:0015035,func
AT3G02520,protein domain specific binding,GO:0019904,func
AT2G31380,protein domain specific binding,GO:0019904,func
AT2G46830,protein domain specific binding,GO:0019904,func
AT1G54030,protein exit from endoplasmic reticulum,GO:0032527,proc
AT5G17020,protein export from nucleus,GO:0006611,proc
AT5G05680,protein export from nucleus,GO:0006611,proc
AT2G46520,protein export from nucleus,GO:0006611,proc
AT1G26230,protein folding,GO:0006457,proc
AT1G55490,protein folding,GO:0006457,proc
AT2G28000,protein folding,GO:0006457,proc
AT3G01480,protein folding,GO:0006457,proc
AT4G37480,protein folding,GO:0006457,proc
AT5G42480,protein folding,GO:0006457,proc
AT1G80030,protein folding,GO:0006457,proc
AT5G02490,protein folding,GO:0006457,proc
AT5G55200,protein folding,GO:0006457,proc
AT3G09440,protein folding,GO:0006457,proc
AT5G56010,protein folding,GO:0006457,proc
AT3G44110,protein folding,GO:0006457,proc
AT1G79930,protein folding,GO:0006457,proc
AT1G09210,protein folding,GO:0006457,proc
AT1G28210,protein folding,GO:0006457,proc
AT1G56340,protein folding,GO:0006457,proc
AT3G13310,protein folding,GO:0006457,proc
AT5G22060,protein folding,GO:0006457,proc
AT5G42020,protein folding,GO:0006457,proc
AT5G61790,protein folding,GO:0006457,proc
AT3G66654,protein folding,GO:0006457,proc
AT5G03160,protein folding,GO:0006457,proc
AT5G28540,protein folding,GO:0006457,proc
AT1G68370,protein folding,GO:0006457,proc
AT1G62970,protein folding,GO:0006457,proc
AT3G62190,protein folding,GO:0006457,proc
AT1G75310,protein folding,GO:0006457,proc
AT1G16680,protein folding,GO:0006457,proc
AT4G13830,protein folding,GO:0006457,proc
AT4G09350,protein folding,GO:0006457,proc
AT3G62030,protein folding,GO:0006457,proc
AT5G53150,protein folding,GO:0006457,proc
AT5G13120,protein folding,GO:0006457,proc
AT5G55220,protein folding,GO:0006457,proc
AT2G29500,protein folding,GO:0006457,proc
AT2G04030,protein folding,GO:0006457,proc
AT5G16070,protein folding,GO:0006457,proc
AT1G35620,protein folding,GO:0006457,proc
AT2G16600,protein folding,GO:0006457,proc
AT5G58710,protein folding,GO:0006457,proc
AT2G18465,protein folding,GO:0006457,proc
AT3G62570,protein folding,GO:0006457,proc
AT5G02490,protein folding chaperone,GO:0044183,func
AT3G09440,protein folding chaperone,GO:0044183,func
AT5G19855,protein folding chaperone,GO:0044183,func
AT5G42020,protein folding chaperone,GO:0044183,func
AT5G28540,protein folding chaperone,GO:0044183,func
AT2G30695,protein folding chaperone,GO:0044183,func
AT5G55220,protein folding chaperone,GO:0044183,func
AT1G75270,protein glutathionylation,GO:0010731,proc
AT5G16710,protein glutathionylation,GO:0010731,proc
AT5G02780,protein glutathionylation,GO:0010731,proc
AT3G06440,protein glycosylation,GO:0006486,proc
AT4G13990,protein glycosylation,GO:0006486,proc
AT5G62620,protein glycosylation,GO:0006486,proc
AT2G01480,protein glycosylation,GO:0006486,proc
AT3G45040,protein glycosylation,GO:0006486,proc
AT4G26940,protein glycosylation,GO:0006486,proc
AT5G33290,protein glycosylation,GO:0006486,proc
AT1G27520,protein glycosylation,GO:0006486,proc
AT5G44930,protein glycosylation,GO:0006486,proc
AT4G38240,protein glycosylation,GO:0006486,proc
AT3G48820,protein glycosylation,GO:0006486,proc
AT4G39400,protein heterodimerization activity,GO:0046982,func
AT1G07630,protein heterodimerization activity,GO:0046982,func
AT4G33430,protein heterodimerization activity,GO:0046982,func
AT4G34590,protein heterodimerization activity,GO:0046982,func
AT2G37470,protein heterodimerization activity,GO:0046982,func
AT3G54620,protein heterodimerization activity,GO:0046982,func
AT1G04950,protein heterodimerization activity,GO:0046982,func
AT4G02640,protein heterodimerization activity,GO:0046982,func
AT4G14540,protein heterodimerization activity,GO:0046982,func
AT2G28720,protein heterodimerization activity,GO:0046982,func
AT5G56210,protein heterodimerization activity,GO:0046982,func
AT5G47640,protein heterodimerization activity,GO:0046982,func
AT5G49020,protein heterodimerization activity,GO:0046982,func
AT5G51070,protein hexamerization,GO:0034214,proc
AT3G23150,protein histidine kinase activity,GO:0004673,func
AT5G35750,protein histidine kinase activity,GO:0004673,func
AT5G39340,protein histidine kinase binding,GO:0043424,func
AT5G35750,protein histidine kinase binding,GO:0043424,func
AT5G13120,protein histidine kinase binding,GO:0043424,func
AT1G13980,protein homodimerization activity,GO:0042803,func
AT4G39400,protein homodimerization activity,GO:0042803,func
AT5G54770,protein homodimerization activity,GO:0042803,func
AT5G63860,protein homodimerization activity,GO:0042803,func
AT5G55200,protein homodimerization activity,GO:0042803,func
AT4G35630,protein homodimerization activity,GO:0042803,func
AT5G13220,protein homodimerization activity,GO:0042803,func
AT4G34710,protein homodimerization activity,GO:0042803,func
AT5G51070,protein homodimerization activity,GO:0042803,func
AT5G50960,protein homodimerization activity,GO:0042803,func
AT5G38530,protein homodimerization activity,GO:0042803,func
AT2G16500,protein homodimerization activity,GO:0042803,func
AT1G68010,protein homodimerization activity,GO:0042803,func
AT1G02280,protein homodimerization activity,GO:0042803,func
AT1G11430,protein homodimerization activity,GO:0042803,func
AT2G21280,protein homodimerization activity,GO:0042803,func
AT2G27230,protein homodimerization activity,GO:0042803,func
AT2G37678,protein homodimerization activity,GO:0042803,func
AT2G47220,protein homodimerization activity,GO:0042803,func
AT5G48840,protein homodimerization activity,GO:0042803,func
AT3G49250,protein homodimerization activity,GO:0042803,func
AT5G56210,protein homodimerization activity,GO:0042803,func
AT2G04030,protein homodimerization activity,GO:0042803,func
AT5G65020,protein homodimerization activity,GO:0042803,func
AT4G08920,protein homodimerization activity,GO:0042803,func
AT1G35720,protein homodimerization activity,GO:0042803,func
AT5G49020,protein homodimerization activity,GO:0042803,func
AT5G11670,protein homooligomerization,GO:0051260,proc
AT3G20290,protein homooligomerization,GO:0051260,proc
AT1G21460,protein homooligomerization,GO:0051260,proc
AT1G79560,protein import into chloroplast stroma,GO:0045037,proc
AT3G04340,protein import into chloroplast stroma,GO:0045037,proc
AT3G16290,protein import into chloroplast stroma,GO:0045037,proc
AT5G01590,protein import into chloroplast stroma,GO:0045037,proc
AT3G47520,protein import into chloroplast stroma,GO:0045037,proc
AT4G03320,protein import into chloroplast stroma,GO:0045037,proc
AT1G04940,protein import into chloroplast stroma,GO:0045037,proc
AT5G22640,protein import into chloroplast stroma,GO:0045037,proc
AT5G64580,protein import into chloroplast stroma,GO:0045037,proc
AT2G04030,protein import into chloroplast stroma,GO:0045037,proc
AT2G47450,protein import into chloroplast thylakoid membrane,GO:0045038,proc
AT5G03940,protein import into chloroplast thylakoid membrane,GO:0045038,proc
AT5G52440,protein import into chloroplast thylakoid membrane,GO:0045038,proc
AT5G55200,protein import into mitochondrial matrix,GO:0030150,proc
AT2G37410,protein import into mitochondrial matrix,GO:0030150,proc
AT3G14120,protein import into nucleus,GO:0006606,proc
AT1G27970,protein import into nucleus,GO:0006606,proc
AT5G20020,protein import into nucleus,GO:0006606,proc
AT1G71480,protein import into nucleus,GO:0006606,proc
AT1G12930,protein import into nucleus,GO:0006606,proc
AT2G41620,protein import into nucleus,GO:0006606,proc
AT4G32910,protein import into nucleus,GO:0006606,proc
AT5G05680,protein import into nucleus,GO:0006606,proc
AT2G46520,protein import into nucleus,GO:0006606,proc
AT1G03000,protein import into peroxisome matrix,GO:0016558,proc
AT3G18160,protein import into peroxisome membrane,GO:0045046,proc
AT1G65080,protein insertion into membrane,GO:0051205,proc
AT2G37410,protein insertion into mitochondrial inner membrane,GO:0045039,proc
AT1G65080,protein insertion into mitochondrial inner membrane from matrix,GO:0032979,proc
AT2G18290,protein K11-linked ubiquitination,GO:0070979,proc
AT1G70660,protein K63-linked ubiquitination,GO:0070534,proc
AT1G78870,protein K63-linked ubiquitination,GO:0070534,proc
AT1G28440,protein kinase activity,GO:0004672,func
AT1G60800,protein kinase activity,GO:0004672,func
AT2G26730,protein kinase activity,GO:0004672,func
AT2G37050,protein kinase activity,GO:0004672,func
AT2G45340,protein kinase activity,GO:0004672,func
AT3G08680,protein kinase activity,GO:0004672,func
AT3G12780,protein kinase activity,GO:0004672,func
AT3G24660,protein kinase activity,GO:0004672,func
AT3G56370,protein kinase activity,GO:0004672,func
AT4G22130,protein kinase activity,GO:0004672,func
AT4G39400,protein kinase activity,GO:0004672,func
AT5G16810,protein kinase activity,GO:0004672,func
AT5G41990,protein kinase activity,GO:0004672,func
AT4G18950,protein kinase activity,GO:0004672,func
AT4G33430,protein kinase activity,GO:0004672,func
AT1G56140,protein kinase activity,GO:0004672,func
AT1G09970,protein kinase activity,GO:0004672,func
AT2G30360,protein kinase activity,GO:0004672,func
AT4G28490,protein kinase activity,GO:0004672,func
AT2G11520,protein kinase activity,GO:0004672,func
AT5G01810,protein kinase activity,GO:0004672,func
AT3G24550,protein kinase activity,GO:0004672,func
AT3G08760,protein kinase activity,GO:0004672,func
AT3G02880,protein kinase activity,GO:0004672,func
AT5G54590,protein kinase activity,GO:0004672,func
AT3G13380,protein kinase activity,GO:0004672,func
AT4G35620,protein kinase activity,GO:0004672,func
AT5G51770,protein kinase activity,GO:0004672,func
AT5G59700,protein kinase activity,GO:0004672,func
AT1G26150,protein kinase activity,GO:0004672,func
AT3G15354,protein kinase activity,GO:0004672,func
AT3G48750,protein kinase activity,GO:0004672,func
AT5G14210,protein kinase activity,GO:0004672,func
AT5G50000,protein kinase activity,GO:0004672,func
AT5G58140,protein kinase activity,GO:0004672,func
AT2G42290,protein kinase activity,GO:0004672,func
AT5G21222,protein kinase activity,GO:0004672,func
AT1G20650,protein kinase activity,GO:0004672,func
AT1G27190,protein kinase activity,GO:0004672,func
AT3G28040,protein kinase activity,GO:0004672,func
AT1G66980,protein kinase activity,GO:0004672,func
AT1G68830,protein kinase activity,GO:0004672,func
AT3G45780,protein kinase activity,GO:0004672,func
AT5G61480,protein kinase activity,GO:0004672,func
AT4G11900,protein kinase activity,GO:0004672,func
AT4G29990,protein kinase activity,GO:0004672,func
AT4G23190,protein kinase activity,GO:0004672,func
AT4G31390,protein kinase activity,GO:0004672,func
AT2G20050,protein kinase activity,GO:0004672,func
AT4G08920,protein kinase activity,GO:0004672,func
AT1G53090,protein kinase activity,GO:0004672,func
AT2G20635,protein kinase activity,GO:0004672,func
AT3G45640,protein kinase activity,GO:0004672,func
AT5G44290,protein kinase activity,GO:0004672,func
AT2G36350,protein kinase binding,GO:0019901,func
AT4G35620,protein kinase binding,GO:0019901,func
AT1G26150,protein kinase binding,GO:0019901,func
AT1G75840,protein kinase binding,GO:0019901,func
AT4G03260,protein kinase binding,GO:0019901,func
